,price
7774,6149976.3
2559,6300000.0
62,2099991.8
7986,5199977.0
6978,3589986.9
4315,8699958.9
1642,6999975.0
6073,6349980.0
2467,7989993.0
679,1950000.0
4486,9499982.4
741,3099992.4999999995
1211,6599988.0
2170,2699995.2
6050,7000000.0
5485,5799992.800000001
5335,4949997.3
2900,8699985.0
3258,9349987.5
567,1399996.6
1873,7700000.0
648,2599982.4000000004
2596,6099996.8
1717,7499965.600000001
6645,4294992.0
2843,8499990.0
1392,7149984.2
7186,8549973.9
7550,10299982.0
5341,4899982.5
3473,3449973.9
7368,7800000.0
489,4099967.6999999997
493,3789000.0
690,2699992.8
7868,4209984.0
602,3599989.1
1911,8099979.75
5520,4999974.399999999
3980,7499968.0
5908,6699976.85
5685,5499998.399999999
3550,8899951.5
3765,6799975.0
5495,5599994.399999999
2366,5599998.3
1187,6099993.899999999
274,2980000.0
6445,4899996.9
5853,6579982.5
1361,5998996.800000001
3805,7189998.9
1526,5599981.199999999
7505,10498951.8
4157,7599945.600000001
7891,4815984.64
1551,6149980.800000001
330,3099992.0
7533,11499975.0
1337,5399982.0
3686,6549955.2
945,4899966.0
6303,4479992.5
2250,4249999.8
6307,4094000.0
801,4049976.0
5606,5599995.2
2346,4800000.0
68,2100662.1999999997
5875,5998980.0
5703,5449986.0
2784,7999974.800000001
1598,6849968.4
4213,8199980.800000001
4728,9696800.0
6007,6989980.800000001
1503,5599996.8
6044,6999980.0
150,2999992.0
2804,8149986.0
5071,9799959.0
2086,5799990.0
7304,10989990.0
2259,3849986.6
6338,3499992.0
7244,8299976.3
7581,12699988.5
5915,6299989.0
859,4499982.100000001
3491,10899960.0
4991,11999962.0
7562,14299982.0
6708,2430000.0
4127,7899948.0
5958,5044985.0
366,3499987.5999999996
1432,6989978.4
4309,8599939.6
5622,5598984.8
1779,7499998.8
4898,12749966.0
5937,6199987.6
1818,2299988.0
5973,6484998.3
841,4649984.6
2704,5019995.7
1189,5999994.0
175,2399989.1999999997
4447,8450000.0
7535,8999961.7
617,3332984.4
2093,5963601.6
3308,8899990.0
5827,5599973.4
3838,6399981.0
82,1849982.9000000001
5093,8699972.7
3208,9119979.1
816,4099977.2
1030,5489979.6
5229,5979987.0
300,3499971.4
4466,8500000.0
1472,5959977.899999999
283,3099967.0
2028,2499984.0
4316,8589926.4
4918,14299987.0
